sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_CNV	Kids_First_Biospecimen_ID_SNV	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-7965	BS_0BTXD5M6	BS_DKF4CQB4	BS_DKF4CQB4	BS_S7BCFSJS	BS_0BTXD5M6
7316-4345	BS_0EB67GB4	BS_KMFX23ZZ	BS_KMFX23ZZ	BS_MJVTJK0F	BS_0EB67GB4
7316-4188	BS_0HKNEFQC	BS_4HRYS7JY	BS_4HRYS7JY	BS_DX75YHQE	BS_0HKNEFQC
7316-4523	BS_19Z0ERYF	BS_7TMTHQ5X	BS_7TMTHQ5X	BS_7J3TGDGX	BS_19Z0ERYF
7316-2250	BS_1AYRM596	BS_20X874J5	BS_20X874J5	BS_GX9FSY4V	BS_1AYRM596
7316-2659	BS_1BWP5MCT	BS_05S9WJW6	BS_05S9WJW6	BS_8VP3HW1B	BS_1BWP5MCT
7316-5539	BS_1DMAMKFZ	BS_R06ABMXP	BS_R06ABMXP	BS_FM94M3PS	BS_1DMAMKFZ
7316-4778	BS_1Z2CNQEC	BS_YHNFJWAK	BS_YHNFJWAK	BS_H197SKBR	BS_1Z2CNQEC
7316-4174	BS_1ZWSD3YQ	BS_XQ33BNV0	BS_XQ33BNV0	BS_B5AQJ9XV	BS_1ZWSD3YQ
7316-7742	BS_26H7DZD4	BS_PS00F8DA	BS_PS00F8DA	BS_K4M7J3QY	BS_26H7DZD4
7316-9249	BS_2G4EH95X	BS_VBADSQPW	BS_VBADSQPW	BS_P4RER0JF	BS_2G4EH95X
7316-4265	BS_2M4174KG	BS_AFPZ71DG	BS_AFPZ71DG	BS_SZGPXK0G	BS_2M4174KG
7316-3626	BS_2SFTWNVE	BS_9BF58P80	BS_9BF58P80	BS_8R7FB13G	BS_2SFTWNVE
7316-2934	BS_2Z1MKS84	BS_HSYF7G2D	BS_HSYF7G2D	BS_2S2R8GH5	BS_2Z1MKS84
7316-3114	BS_397XFJY9	BS_53BCKC4V	BS_53BCKC4V	BS_ZDJB4BK4	BS_397XFJY9
7316-6	BS_3F5PR9GS	BS_8YQGSMDK	BS_8YQGSMDK	BS_M1MPGKYJ	BS_3F5PR9GS
7316-367	BS_3MYEMXPQ	BS_39Q80NT3	BS_39Q80NT3	BS_WKNHM9QK	BS_3MYEMXPQ
7316-2221	BS_3NWQXPQV	BS_4YE9CKC6	BS_4YE9CKC6	BS_5349VSNB	BS_3NWQXPQV
7316-8860	BS_3RAM3K7B	BS_X2VRDBVG	BS_X2VRDBVG	BS_PRKJWXS8	BS_3RAM3K7B
7316-1676	BS_3V3KE3VT	BS_FVYBGMG1	BS_FVYBGMG1	BS_9QDA6XJM	BS_3V3KE3VT
7316-4493	BS_46MF83WA	BS_RC3GT3V9	BS_RC3GT3V9	BS_1YMQ0TXS	BS_46MF83WA
7316-22	BS_4CP4T22V	BS_H2K7XX4X	BS_H2K7XX4X	BS_NPKXNBTD	BS_4CP4T22V
7316-906	BS_4D9DD103	BS_RHEBGZF8	BS_RHEBGZF8	BS_NEZ4TS7F	BS_4D9DD103
7316-4221	BS_4PBXY1E3	BS_85E6SZKP	BS_85E6SZKP	BS_N3P7VDD7	BS_4PBXY1E3
7316-2811	BS_4PH1MBGR	BS_FT95T4YP	BS_FT95T4YP	BS_F0A84A7J	BS_4PH1MBGR
7316-747	BS_4W68NV3M	BS_SFH8TGKT	BS_SFH8TGKT	BS_VPVFTP0X	BS_4W68NV3M
7316-897	BS_5PJCHF6V	BS_XGMXJKFX	BS_XGMXJKFX	BS_H8QK3J0B	BS_5PJCHF6V
7316-5	BS_5VQP0E6K	BS_9D39MFHT	BS_9D39MFHT	BS_0K0R2RHX	BS_5VQP0E6K
7316-908	BS_61E80SD6	BS_Z5D6G1S6	BS_Z5D6G1S6	BS_EKJTEJAR	BS_61E80SD6
7316-4296	BS_6AB299R2	BS_5R7SC2GW	BS_5R7SC2GW	BS_SANX1620	BS_6AB299R2
7316-3008	BS_6RX2743N	BS_RQS2C7G5	BS_RQS2C7G5	BS_DWPQ61FC	BS_6RX2743N
7316-6528	BS_6W0VHGQE	BS_FVX5BSXD	BS_FVX5BSXD	BS_ABMPSB4H	BS_6W0VHGQE
7316-6792	BS_6XHRA95C	BS_Z9YAGQYA	BS_Z9YAGQYA	BS_FVZMSC5K	BS_6XHRA95C
7316-2133	BS_77317DY4	BS_P3P96WCD	BS_P3P96WCD	BS_8B8DKWD6	BS_77317DY4
7316-4284	BS_78SCX2N9	BS_MTYNW7BX	BS_MTYNW7BX	BS_90WXJSJY	BS_78SCX2N9
7316-2780	BS_7C40TRCY	BS_DGG7YE8R	BS_DGG7YE8R	BS_S2QR3V7R	BS_7C40TRCY
7316-3809	BS_7XQRH69M	BS_PJ08ZW9A	BS_PJ08ZW9A	BS_HR5ZGJ2N	BS_7XQRH69M
7316-931	BS_81SP2HX4	BS_2J4FG4HV	BS_2J4FG4HV	BS_1Y8941MS	BS_81SP2HX4
7316-178	BS_8GW1TMV2	BS_P99S85CY	BS_P99S85CY	BS_T1BECW62	BS_8GW1TMV2
7316-4956	BS_9294WMET	BS_YRGD4MKR	BS_YRGD4MKR	BS_32NR982Z	BS_9294WMET
7316-6124	BS_9K1H3RPM	BS_397V7CXJ	BS_397V7CXJ	BS_EEN15FNV	BS_9K1H3RPM
7316-735	BS_9M5XJ10G	BS_8BD8WD38	BS_8BD8WD38	BS_V6ECHDDQ	BS_9M5XJ10G
7316-3510	BS_9NJHQE9F	BS_7M6F9GQD	BS_7M6F9GQD	BS_S5WWFSEZ	BS_9NJHQE9F
7316-2178	BS_9NZ2D6AD	BS_F8KR1QWE	BS_F8KR1QWE	BS_BWY9FK7V	BS_9NZ2D6AD
7316-746	BS_9PB3XH5D	BS_3JE2T7AR	BS_3JE2T7AR	BS_M6YZNRVZ	BS_9PB3XH5D
7316-2287	BS_9V633J1X	BS_PFXDWV9R	BS_PFXDWV9R	BS_FP4757SN	BS_9V633J1X
7316-1118	BS_A14Z8BBK	BS_JK5GTHVG	BS_JK5GTHVG	BS_TB9SQHA4	BS_A14Z8BBK
7316-3511	BS_A87NPZAP	BS_XNTQBZAJ	BS_XNTQBZAJ	BS_ENCVX9ZP	BS_A87NPZAP
7316-1801	BS_AHEFXG7W	BS_ZV21J6YW	BS_ZV21J6YW	BS_8GB5AH2Z	BS_AHEFXG7W
7316-1669	BS_AM70R8RG	BS_185Q218S	BS_185Q218S	BS_TRDMP775	BS_AM70R8RG
7316-5883	BS_AWJFW3W5	BS_G3B24JW8	BS_G3B24JW8	BS_4T7PPKM0	BS_AWJFW3W5
7316-182	BS_BA6AZWB3	BS_JSNJZERZ	BS_JSNJZERZ	BS_Q7PP5YJN	BS_BA6AZWB3
7316-5187	BS_BEKKNDWB	BS_P2774N21	BS_P2774N21	BS_XK0FGTT0	BS_BEKKNDWB
7316-729	BS_BPWEFR89	BS_BX8AR74E	BS_BX8AR74E	BS_9Z5PWXZB	BS_BPWEFR89
7316-1083	BS_BSV07M7Z	BS_47X3VAM0	BS_47X3VAM0	BS_15Y9RNQM	BS_BSV07M7Z
7316-9804	BS_C0GQVFWA	BS_NK9XQ95W	BS_NK9XQ95W	BS_HP7S6Y13	BS_C0GQVFWA
7316-9037	BS_C853MJT4	BS_5VD3BNNV	BS_5VD3BNNV	BS_7KJ58J6A	BS_C853MJT4
7316-2711	BS_C8RVHTVV	BS_VYQSFAKR	BS_VYQSFAKR	BS_PYTJAVWN	BS_C8RVHTVV
7316-8117	BS_CCBW38BM	BS_110K2FF7	BS_110K2FF7	BS_KX1ARZSA	BS_CCBW38BM
7316-302	BS_CHDGRYHJ	BS_8H2XX24V	BS_8H2XX24V	BS_E4MAVH4Y	BS_CHDGRYHJ
7316-2322	BS_D144EJRQ	BS_H1K33JVK	BS_H1K33JVK	BS_TGYBV2KP	BS_D144EJRQ
7316-4529	BS_D46WVFCP	BS_Y7PRDGED	BS_Y7PRDGED	BS_VJF0JW0Y	BS_D46WVFCP
7316-556	BS_DFWFBYSN	BS_MEPW36WF	BS_MEPW36WF	BS_ZD6HHEB7	BS_DFWFBYSN
7316-2240	BS_E3BAT4C1	BS_R1CV479M	BS_R1CV479M	BS_YCF6WR3P	BS_E3BAT4C1
7316-3659	BS_ECP485VV	BS_T45AJSTV	BS_T45AJSTV	BS_4RJKBMPY	BS_ECP485VV
7316-1655	BS_EFE4YEK3	BS_KRYYDC2X	BS_KRYYDC2X	BS_4PD4BEHP	BS_EFE4YEK3
7316-680	BS_EQKYB3JB	BS_ESEAV1TN	BS_ESEAV1TN	BS_V8M4STE2	BS_EQKYB3JB
7316-1670	BS_ERWT0ZWE	BS_164KRQJ0	BS_164KRQJ0	BS_BDDFJP8C	BS_ERWT0ZWE
7316-5749	BS_F5QBVPP0	BS_FSH4MKSX	BS_FSH4MKSX	BS_Z3HT5NW8	BS_F5QBVPP0
7316-2700	BS_FBRNNYCA	BS_X6CKDFS0	BS_X6CKDFS0	BS_F90NS0V0	BS_FBRNNYCA
7316-153	BS_FKDQJJB5	BS_10V9SAG8	BS_10V9SAG8	BS_RMBFCQFB	BS_FKDQJJB5
7316-8916	BS_FV820J38	BS_QWWYFRGZ	BS_QWWYFRGZ	BS_JP186GB0	BS_FV820J38
7316-2971	BS_G00FHF3Q	BS_06GEF6DB	BS_06GEF6DB	BS_YG0FSCMM	BS_G00FHF3Q
7316-314	BS_GNV89A5P	BS_0RF0G9SQ	BS_0RF0G9SQ	BS_0E16EN6E	BS_GNV89A5P
7316-2252	BS_HB03GSHF	BS_9YPJANGX	BS_9YPJANGX	BS_1SRBJ4WH	BS_HB03GSHF
7316-683	BS_HD33RVPJ	BS_1KMVTHES	BS_1KMVTHES	BS_QATZJBWR	BS_HD33RVPJ
7316-676	BS_HD4EJYE3	BS_X1R0N8QS	BS_X1R0N8QS	BS_T7SSWRA0	BS_HD4EJYE3
7316-2230	BS_HE57E1RP	BS_TNQKJZCP	BS_TNQKJZCP	BS_XCWP2BJP	BS_HE57E1RP
7316-2155	BS_HF3RNN2T	BS_DJEVCH34	BS_DJEVCH34	BS_5PBWNSW1	BS_HF3RNN2T
7316-313	BS_HHPA8NJ2	BS_A4KYP5H0	BS_A4KYP5H0	BS_JJYPZACX	BS_HHPA8NJ2
7316-2227	BS_HTEPAKCM	BS_RQ5Z7KNW	BS_RQ5Z7KNW	BS_481JJ4AR	BS_HTEPAKCM
7316-38	BS_HZE3KYZ1	BS_1JMTTKMK	BS_1JMTTKMK	BS_4039HAR9	BS_HZE3KYZ1
7316-670	BS_HZRM07TW	BS_WP2D11SK	BS_WP2D11SK	BS_PYZ9Z042	BS_HZRM07TW
7316-922	BS_J1AB8PMA	BS_KAZENYZE	BS_KAZENYZE	BS_XPV22DSD	BS_J1AB8PMA
7316-2626	BS_J71N7D09	BS_S34SCYW4	BS_S34SCYW4	BS_P0KXVQ8K	BS_J71N7D09
7316-937	BS_J8G4SH4Z	BS_QGX93WPF	BS_QGX93WPF	BS_H4T470NG	BS_J8G4SH4Z
7316-553	BS_JFB984RG	BS_HZHEF797	BS_HZHEF797	BS_83V1GTVC	BS_JFB984RG
7316-4918	BS_JJW609CE	BS_Z7A870DH	BS_Z7A870DH	BS_VFF3WBQE	BS_JJW609CE
7316-4270	BS_JMMPW4G3	BS_TEC3PGQ0	BS_TEC3PGQ0	BS_TVTTHYXP	BS_JMMPW4G3
7316-4283	BS_JPHWQ1TV	BS_FJRZJ4RS	BS_FJRZJ4RS	BS_6YWZ165E	BS_JPHWQ1TV
7316-306	BS_JT82QGXF	BS_40FX713C	BS_40FX713C	BS_QE0MYJAD	BS_JT82QGXF
7316-1651	BS_JZRM1S3T	BS_T8TCEBB1	BS_T8TCEBB1	BS_9N9CVAB8	BS_JZRM1S3T
7316-4940	BS_K19586VM	BS_4BMVETAN	BS_4BMVETAN	BS_3MYV7P2R	BS_K19586VM
7316-3025	BS_K3ER45RV	BS_Y5DA59M3	BS_Y5DA59M3	BS_G4B3VHZK	BS_K3ER45RV
7316-3774	BS_K74PZET7	BS_T5HPW4Z0	BS_T5HPW4Z0	BS_425HDMG2	BS_K74PZET7
7316-3202	BS_K81DR8XG	BS_70FKSKM9	BS_70FKSKM9	BS_MR7DZ7D0	BS_K81DR8XG
7316-3931	BS_KGXP2KJE	BS_MC1W61N0	BS_MC1W61N0	BS_GC5NJVRH	BS_KGXP2KJE
7316-5526	BS_KJJZ48WS	BS_1P4J21PN	BS_1P4J21PN	BS_CB4QGWRF	BS_KJJZ48WS
7316-2562	BS_KN92S7YQ	BS_VKH9KYDB	BS_VKH9KYDB	BS_2VFTZSTQ	BS_KN92S7YQ
7316-304	BS_KVNGNETA	BS_0J5MCBZV	BS_0J5MCBZV	BS_JYCK7J7F	BS_KVNGNETA
7316-411	BS_KX9ECQZW	BS_0E8WBZBF	BS_0E8WBZBF	BS_MJYJDAD5	BS_KX9ECQZW
7316-109	BS_KYF0Q0E7	BS_VTTTQYQA	BS_VTTTQYQA	BS_N3J92FM4	BS_KYF0Q0E7
7316-2699	BS_M15PW2N0	BS_1S2BHJ8K	BS_1S2BHJ8K	BS_NBY54GNQ	BS_M15PW2N0
7316-4681	BS_N1R1VSAG	BS_GY8AVNHY	BS_GY8AVNHY	BS_CT0QDRYM	BS_N1R1VSAG
7316-521	BS_N4B1SZZH	BS_W3R2DQ86	BS_W3R2DQ86	BS_KQER6QAE	BS_N4B1SZZH
7316-5879	BS_N9C2500H	BS_7SAH6KH6	BS_7SAH6KH6	BS_DDYSX4FD	BS_N9C2500H
7316-3949	BS_NXC3W5MZ	BS_9168FYE6	BS_9168FYE6	BS_F9424DG3	BS_NXC3W5MZ
7316-3846	BS_NZ71XCG3	BS_Y7CA8B5R	BS_Y7CA8B5R	BS_SB4J8W73	BS_NZ71XCG3
7316-8451	BS_PAK40AMT	BS_RX30DWW5	BS_RX30DWW5	BS_0QQBKX63	BS_PAK40AMT
7316-7110	BS_PC107GE3	BS_F0EA1FGK	BS_F0EA1FGK	BS_72TN2CTK	BS_PC107GE3
7316-4535	BS_PPGGE3AN	BS_N2KTPMH1	BS_N2KTPMH1	BS_QR4V0Z8E	BS_PPGGE3AN
7316-14	BS_QEYPFYHD	BS_5BMNK8SY	BS_5BMNK8SY	BS_E76N8WF4	BS_QEYPFYHD
7316-3576	BS_R439VVPK	BS_QZT3SPY7	BS_QZT3SPY7	BS_Y8HPV715	BS_R439VVPK
7316-2865	BS_R6WNEEE4	BS_CSY11X7E	BS_CSY11X7E	BS_RWHC2Y7G	BS_R6WNEEE4
7316-3138	BS_RCC8BXVE	BS_DVQYQSVW	BS_DVQYQSVW	BS_Q1AHDMR6	BS_RCC8BXVE
7316-1650	BS_RD4D5F9F	BS_PYVPKH11	BS_PYVPKH11	BS_8KX1Y9WX	BS_RD4D5F9F
7316-6808	BS_RGQH7K0C	BS_Z4RS1691	BS_Z4RS1691	BS_5EBCN02A	BS_RGQH7K0C
7316-6685	BS_RN36XFYH	BS_QB75G19J	BS_QB75G19J	BS_A83P2345	BS_RN36XFYH
7316-7753	BS_RPF3Z9P9	BS_SXXD403S	BS_SXXD403S	BS_93DGTKHY	BS_RPF3Z9P9
7316-6530	BS_RSTH763S	BS_4P88KBKA	BS_4P88KBKA	BS_DZK30R1H	BS_RSTH763S
7316-5463	BS_RYRWBV7K	BS_DH9NX6ZR	BS_DH9NX6ZR	BS_FPZ63KF4	BS_RYRWBV7K
7316-2893	BS_S1M423AB	BS_QHTDJG77	BS_QHTDJG77	BS_FENJEHZ7	BS_S1M423AB
7316-4856	BS_S97F1ZY3	BS_RGZTGVGV	BS_RGZTGVGV	BS_Y5J1CXK4	BS_S97F1ZY3
7316-6794	BS_SA8BT7AR	BS_DYMSB5M3	BS_DYMSB5M3	BS_ZW6V2V6W	BS_SA8BT7AR
7316-358	BS_SKGJ5SY9	BS_7PKPNFFK	BS_7PKPNFFK	BS_4P6YCVEZ	BS_SKGJ5SY9
7316-3726	BS_SR2M85RQ	BS_61ARW0V1	BS_61ARW0V1	BS_N9X43JSB	BS_SR2M85RQ
7316-9450	BS_SWRH6FKE	BS_3RGJ4VP1	BS_3RGJ4VP1	BS_PR38DGDZ	BS_SWRH6FKE
7316-1802	BS_TA9WP4TH	BS_YH60H2FS	BS_YH60H2FS	BS_EFBDT6ZE	BS_TA9WP4TH
7316-1700	BS_TE0GVDNG	BS_B3RH9V17	BS_B3RH9V17	BS_GNAPV1MP	BS_TE0GVDNG
7316-278	BS_TW8DQH8J	BS_WY5KYSHJ	BS_WY5KYSHJ	BS_EZZZ4AQH	BS_TW8DQH8J
7316-3192	BS_TYAYZ9ZW	BS_X7QJCVJB	BS_X7QJCVJB	BS_NMQD5VJY	BS_TYAYZ9ZW
7316-2107	BS_TZVFR600	BS_N4B3WB8W	BS_N4B3WB8W	BS_JXA1FR74	BS_TZVFR600
7316-2309	BS_V72H4RQS	BS_PVYMDM18	BS_PVYMDM18	BS_PVZ4DTEE	BS_V72H4RQS
7316-438	BS_V9HVBBDW	BS_HPMX6CT4	BS_HPMX6CT4	BS_TPWNZVQ1	BS_V9HVBBDW
7316-96	BS_VJVDJABP	BS_0J5GC803	BS_0J5GC803	BS_3F3XBXZ4	BS_VJVDJABP
7316-7930	BS_VQCCYTM5	BS_E1GFZBG3	BS_E1GFZBG3	BS_D0J34RBW	BS_VQCCYTM5
7316-347	BS_VVFBW0YH	BS_NMQTPVFW	BS_NMQTPVFW	BS_FBYXT186	BS_VVFBW0YH
7316-7495	BS_VXMYES3W	BS_Z4BH9ZFG	BS_Z4BH9ZFG	BS_RKYPWPRV	BS_VXMYES3W
7316-3032	BS_W0FZ9YCY	BS_VYF9WFRR	BS_VYF9WFRR	BS_GGJ8DA82	BS_W0FZ9YCY
7316-2169	BS_W311713R	BS_ASXY97FK	BS_ASXY97FK	BS_8KZ641MM	BS_W311713R
7316-4028	BS_W9AT0MR7	BS_5KFAEMQJ	BS_5KFAEMQJ	BS_MVWMFRQR	BS_W9AT0MR7
7316-8430	BS_WF04GGTX	BS_WD3TDZBH	BS_WD3TDZBH	BS_63JEXTS8	BS_WF04GGTX
7316-2603	BS_WZZN982T	BS_GKQQKS8C	BS_GKQQKS8C	BS_JV8JSETJ	BS_WZZN982T
7316-2701	BS_X56KVW29	BS_G9CCAMGS	BS_G9CCAMGS	BS_5DWJ1PDX	BS_X56KVW29
7316-3857	BS_YEB88D32	BS_NFT9VHMJ	BS_NFT9VHMJ	BS_XYW5TDGJ	BS_YEB88D32
7316-1945	BS_YETBN0RQ	BS_JDS0SYST	BS_JDS0SYST	BS_YYFTD7TP	BS_YETBN0RQ
7316-4458	BS_YMKX1VP4	BS_PEGR2M22	BS_PEGR2M22	BS_PWJFH0SG	BS_YMKX1VP4
7316-8850	BS_YXP55JEG	BS_35Y30N7S	BS_35Y30N7S	BS_RCJ0W175	BS_YXP55JEG
7316-3488	BS_Z45HD492	BS_T9T3R2J0	BS_T9T3R2J0	BS_BRPND7SC	BS_Z45HD492
7316-7598	BS_ZDJEXPYG	BS_P3NDA9Z7	BS_P3NDA9Z7	BS_P14GK1PS	BS_ZDJEXPYG
7316-3756	BS_ZV68CES9	BS_K3Y06EKR	BS_K3Y06EKR	BS_80Z351WQ	BS_ZV68CES9
7316-739	BS_ZXYDSBM9	BS_G4EX0H98	BS_G4EX0H98	BS_GDF5WQV9	BS_ZXYDSBM9
